Month,Gas,Water,Oil
1,175229.3348,16685.11536,0
2,206611.3151,13229.87761,0
3,203374.2059,10966.28949,0
4,175795.7012,10074.89213,0
5,165716.1023,8864.806994,0
6,148394.2405,8458.244358,0
7,143393.3579,7990.116422,0
8,135034.6079,6937.567238,0
9,123957.2847,7397.197742,0
10,122121.1594,6896.939804,0
11,113141.863,6877.41214,0
12,112322.7155,6431.929062,0
13,109734.37,6431.747114,0
14,98416.4853,6228.639278,0
15,108200.0099,5847.147474,0
16,102734.1059,5867.39773,0
17,102752.524,5519.442412,0
18,96435.49545,5549.25547,0
19,96813.96098,5401.631818,0
20,94165.48065,4758.987084,0
21,88800.5529,5143.209884,0
22,89531.90655,4858.010384,0
23,84636.1551,4903.02919,0
24,85339.5531,4637.334282,0
25,83114.43308,4686.216858,0
26,75847.4181,4583.893832,0
27,79149.85373,4343.115504,0
28,74795.83874,4396.21638,0
29,75522.31058,4169.56139,0
30,71459.63113,4224.656982,0
31,72241.49471,4147.553178,0
32,70691.10014,3816.336566,0
33,67001.81957,4013.729976,0
34,67844.0408,3821.569246,0
35,64367.03882,3886.248252,0
36,65237.63143,3702.088668,0
37,63995.45398,3766.615402,0
38,56777.04935,3708.597626,0
39,61769.23814,3535.38336,0
40,58726.07239,3599.498922,0
41,59639.30619,3432.888124,0
42,56742.13442,3496.635778,0
43,57664.54058,3446.581882,0
44,56714.95323,3071.195696,0
45,54013.09532,3355.172178,0
46,54943.20439,3203.022736,0
47,52356.80499,3265.625892,0
48,53288.82812,3118.663108,0
49,52489.2821,3180.735228,0
50,46744.03853,3139.26343,0
51,51038.129,2999.516026,0
52,48698.60515,3060.736398,0
53,49627.51727,2925.411694,0
54,47374.6151,2986.042166,0
55,48299.92666,2949.46284,0
56,47654.68651,2633.327328,0
57,45520.67056,2882.263714,0
58,46438.74508,2756.815862,0
59,44376.69729,2815.932116,0
60,45289.03412,2694.093134,0
61,44728.37759,2752.584942,0
62,39930.45659,2721.472032,0
63,43702.3783,2604.714236,0
64,41798.66676,2662.25888,0
65,42694.53614,2548.651458,0
66,40847.88538,2605.567576,0
67,41736.45148,2577.672622,0
68,41267.42522,2304.73606,0
69,39500.42265,2526.199426,0
70,40377.50985,2419.729142,0
71,38659.49444,2475.099106,0
72,39528.7499,2371.272674,0
73,39112.25481,2426.025142,0
74,36220.2781,2401.824242,0
75,38332.92431,2301.75396,0
