MONTHS,DATE,GAS,WATER
0,1/1/2020,647.6233416,0
1,2/1/2020,874.9999999,0
2,3/1/2020,874.9999999,0
3,4/1/2020,870.6548105,0
4,5/1/2020,811.8283025,0
5,6/1/2020,747.528842,0
6,7/1/2020,695.3809589,0
7,8/1/2020,651.5124256,0
8,9/1/2020,613.940024,0
9,10/1/2020,581.3804917,0
10,11/1/2020,552.37245,0
11,12/1/2020,529.0650058,0
12,1/1/2021,524.1579431,0
13,2/1/2021,524.1579431,0
14,3/1/2021,524.1579431,0
15,4/1/2021,524.1579431,0
16,5/1/2021,524.1579431,0
17,6/1/2021,522.9552402,0
18,7/1/2021,507.8703548,0
19,8/1/2021,489.8021462,0
20,9/1/2021,473.0265578,0
21,10/1/2021,457.4197909,0
22,11/1/2021,442.6231627,0
23,12/1/2021,429.4385983,0
24,1/1/2022,417.065388,0
25,2/1/2022,405.0269183,0
26,3/1/2022,393.6994135,0
27,4/1/2022,383.014056,0
28,5/1/2022,372.9231629,0
29,6/1/2022,363.2211565,0
30,7/1/2022,354.1775425,0
31,8/1/2022,345.5965993,0
32,9/1/2022,337.4387237,0
33,10/1/2022,329.6770796,0
34,11/1/2022,322.1617809,0
35,12/1/2022,315.3339095,0
36,1/1/2023,308.8078304,0
37,2/1/2023,302.3487713,0
38,3/1/2023,296.1685012,0
39,4/1/2023,290.2463429,0
40,5/1/2023,284.5687975,0
41,6/1/2023,279.031444,0
42,7/1/2023,273.7991331,0
43,8/1/2023,268.7697671,0
44,9/1/2023,263.9295705,0
45,10/1/2023,259.2698169,0
46,11/1/2023,254.7068292,0
47,12/1/2023,250.4478385,0
48,1/1/2024,246.3372781,0
49,2/1/2024,242.2996902,0
50,3/1/2024,238.3993396,0
51,4/1/2024,234.627862,0
52,5/1/2024,230.9801915,0
53,6/1/2024,227.3923556,0
54,7/1/2024,223.9744289,0
55,8/1/2024,220.6631988,0
56,9/1/2024,217.4525916,0
57,10/1/2024,214.3390517,0
58,11/1/2024,211.2686428,0
59,12/1/2024,208.4306366,0
60,1/1/2025,205.6728248,0
61,2/1/2025,202.9000405,0
62,3/1/2025,200.2050222,0
63,4/1/2025,197.5837018,0
64,5/1/2025,195.0338121,0
65,6/1/2025,192.5117425,0
66,7/1/2025,190.0960995,0
67,8/1/2025,187.7435793,0
68,9/1/2025,185.4510561,0
69,10/1/2025,183.2168506,0
70,11/1/2025,181.0030192,0
71,12/1/2025,178.9474103,0
72,1/1/2026,176.941023,0
73,2/1/2026,174.9151336,0
74,3/1/2026,172.9376061,0
75,4/1/2026,171.0062052,0
76,5/1/2026,169.1197916,0
77,6/1/2026,167.2465703,0
78,7/1/2026,165.4454719,0
79,8/1/2026,163.6848444,0
80,9/1/2026,161.9629001,0
81,10/1/2026,160.2787628,0
82,11/1/2026,158.6041692,0
83,12/1/2026,157.0440832,0
84,1/1/2027,155.5164074,0
85,2/1/2027,153.9690447,0
86,3/1/2027,152.4538351,0
87,4/1/2027,150.9694382,0
88,5/1/2027,149.5152322,0
89,6/1/2027,148.0669292,0
90,7/1/2027,146.6703655,0
91,8/1/2027,145.3013265,0
92,9/1/2027,143.9587082,0
93,10/1/2027,142.642019,0
94,11/1/2027,141.3293291,0
95,12/1/2027,140.0827769,0
96,1/1/2028,138.8593416,0
97,2/1/2028,137.6381108,0
98,3/1/2028,136.4393387,0
99,4/1/2028,135.262168,0
100,5/1/2028,134.1062386,0
101,6/1/2028,132.9523597,0
102,7/1/2028,131.8371984,0
103,8/1/2028,130.7416048,0
104,9/1/2028,129.664856,0
105,10/1/2028,128.6066617,0
106,11/1/2028,127.5494864,0
107,12/1/2028,126.5601309,0
108,1/1/2029,125.5870212,0
109,2/1/2029,124.5971224,0
110,3/1/2029,123.6235556,0
111,4/1/2029,122.6657426,0
112,5/1/2029,121.7234651,0
113,6/1/2029,120.7811427,0
114,7/1/2029,119.8688064,0
115,8/1/2029,118.9709002,0
116,9/1/2029,118.0869279,0
117,10/1/2029,117.2167103,0
118,11/1/2029,116.3458775,0
119,12/1/2029,115.5295992,0
120,1/1/2030,114.7254548,0
121,2/1/2030,113.9061783,0
122,3/1/2030,113.099158,0
123,4/1/2030,112.3039879,0
124,5/1/2030,111.5205309,0
125,6/1/2030,110.7358694,0
126,7/1/2030,109.9750634,0
127,8/1/2030,109.2252107,0
128,9/1/2030,108.4859575,0
129,10/1/2030,107.75719,0
130,11/1/2030,107.0269038,0
131,12/1/2030,106.3414598,0
132,1/1/2031,105.665323,0
133,2/1/2031,104.9755867,0
134,3/1/2031,104.2952885,0
135,4/1/2031,103.6241335,0
136,5/1/2031,102.9620332,0
137,6/1/2031,102.2980935,0
138,7/1/2031,101.6535531,0
139,8/1/2031,101.0175278,0
140,9/1/2031,100.3897576,0
141,10/1/2031,99.77016823,0
142,11/1/2031,99.14857233,0
143,12/1/2031,98.55467906,0
144,1/1/2032,97.96828884,0
145,2/1/2032,97.37952583,0
146,3/1/2032,96.79818432,0
147,4/1/2032,96.22404432,0
148,5/1/2032,95.65704768,0
149,6/1/2032,95.08787935,0
150,7/1/2032,94.53476914,0
151,8/1/2032,93.98840867,0
152,9/1/2032,93.44860187,0
153,10/1/2032,92.91529976,0
154,11/1/2032,92.37974535,0
155,12/1/2032,91.8760397,0
156,1/1/2033,91.37816334,0
157,2/1/2033,90.86926528,0
158,3/1/2033,90.36631462,0
159,4/1/2033,89.86914313,0
160,5/1/2033,89.3777121,0
161,6/1/2033,88.88395705,0
162,7/1/2033,88.40370807,0
163,8/1/2033,87.92890533,0
164,9/1/2033,87.45939759,0
165,10/1/2033,86.99515209,0
166,11/1/2033,86.52855346,0
167,12/1/2033,86.08934565,0
168,1/1/2034,85.65487157,0
169,2/1/2034,85.21043034,0
170,3/1/2034,84.77083047,0
171,4/1/2034,84.3359407,0
172,5/1/2034,83.90573507,0
173,6/1/2034,83.47315992,0
174,7/1/2034,83.05209489,0
175,8/1/2034,82.63548962,0
176,9/1/2034,82.22322519,0
177,10/1/2034,81.81527964,0
178,11/1/2034,81.40496626,0
179,12/1/2034,81.01846603,0
180,1/1/2035,80.63586372,0
181,2/1/2035,80.24421619,0
182,3/1/2035,79.85656361,0
183,4/1/2035,79.47280179,0
184,5/1/2035,79.09291332,0
185,6/1/2035,78.71067362,0
186,7/1/2035,78.33835528,0
187,8/1/2035,77.96973612,0
188,9/1/2035,77.60472111,0
189,10/1/2035,77.24329555,0
190,11/1/2035,76.87953875,0
191,12/1/2035,76.53090574,0
192,1/1/2036,76.18561266,0
193,2/1/2036,75.83787435,0
194,3/1/2036,75.49347046,0
195,4/1/2036,75.15231707,0
196,5/1/2036,74.8144026,0
197,6/1/2036,74.47419306,0
198,7/1/2036,74.14261746,0
199,8/1/2036,73.81414358,0
200,9/1/2036,73.48869442,0
201,10/1/2036,73.16626028,0
202,11/1/2036,72.84156163,0
203,12/1/2036,72.5353483,0
204,1/1/2037,72.231871,0
205,2/1/2037,71.92086577,0
206,3/1/2037,71.61265241,0
207,4/1/2037,71.30653006,0
208,5/1/2037,71.00176534,0
209,6/1/2037,70.69333563,0
210,7/1/2037,70.39118465,0
211,8/1/2037,70.09033213,0
212,9/1/2037,69.79075846,0
213,10/1/2037,69.49247217,0
214,11/1/2037,69.19059878,0
215,12/1/2037,68.90453992,0
216,1/1/2038,68.61968369,0
217,2/1/2038,68.32639573,0
218,3/1/2038,68.03436814,0
219,4/1/2038,67.74358188,0
220,5/1/2038,67.45404523,0
221,6/1/2038,67.16102672,0
222,7/1/2038,66.87397321,0
223,8/1/2038,66.58815329,0
224,9/1/2038,66.30354831,0
225,10/1/2038,66.02016638,0
226,11/1/2038,65.73337659,0
227,12/1/2038,65.46161113,0
228,1/1/2039,65.19098821,0
229,2/1/2039,64.91235487,0
230,3/1/2039,64.63491891,0
231,4/1/2039,64.35866227,0
232,5/1/2039,64.0835928,0
233,6/1/2039,63.80521544,0
234,7/1/2039,63.53250504,0
235,8/1/2039,63.26096657,0
236,9/1/2039,62.99058235,0
237,10/1/2039,62.72136006,0
238,11/1/2039,62.4489002,0
239,12/1/2039,62.18635019,0
240,1/1/2040,61.92491621,0
241,2/1/2040,61.66024242,0
242,3/1/2040,61.39670602,0
243,4/1/2040,61.13428985,0
244,5/1/2040,60.87300137,0
245,6/1/2040,60.60857073,0
246,7/1/2040,60.34952313,0
247,8/1/2040,60.09158876,0
248,9/1/2040,59.8347508,0
249,10/1/2040,59.57901657,0
250,11/1/2040,59.32020696,0
251,12/1/2040,59.07495585,0
252,1/1/2041,58.83073582,0
253,2/1/2041,58.57928688,0
254,3/1/2041,58.32891851,0
255,4/1/2041,58.0796144,0
256,5/1/2041,57.83138163,0
257,6/1/2041,57.5801637,0
258,7/1/2041,57.33405984,0
259,8/1/2041,57.08901359,0
260,9/1/2041,56.84500896,0
261,10/1/2041,56.60205291,0
262,11/1/2041,56.35617515,0
263,12/1/2041,56.12317842,0
264,1/1/2042,55.89116124,0
265,2/1/2042,55.65227636,0
266,3/1/2042,55.41441806,0
267,4/1/2042,55.17757084,0
268,5/1/2042,54.94174143,0
269,6/1/2042,54.70307602,0
270,7/1/2042,54.46926915,0
271,8/1/2042,54.23646703,0
272,9/1/2042,54.00465449,0
273,10/1/2042,53.77383814,0
274,11/1/2042,53.54024607,0
275,12/1/2042,53.3188914,0
276,1/1/2043,53.09846734,0
277,2/1/2043,52.87151874,0
278,3/1/2043,52.64554542,0
279,4/1/2043,52.42053266,0
280,5/1/2043,52.19648686,0
281,6/1/2043,51.96974676,0
282,7/1/2043,51.74762243,0
283,8/1/2043,51.52645265,0
284,9/1/2043,51.30622301,0
285,10/1/2043,51.08693978,0
286,11/1/2043,50.86501952,0
287,12/1/2043,50.65117089,0
288,1/1/2044,50.43823129,0
289,2/1/2044,50.22265282,0
290,3/1/2044,50.00800078,0
